koaza_name,oaza_name,city
字荒神山,矢野町榊,相生市
字大橋,矢野町榊,相生市
字南黒蔵,矢野町榊,相生市
字長ノ尾,矢野町榊,相生市
字西黒蔵,矢野町榊,相生市
字焼尾,矢野町榊,相生市
字中黒蔵,矢野町榊,相生市
字東黒蔵,矢野町榊,相生市
字乙北黒蔵,矢野町榊,相生市
字甲北黒蔵,矢野町榊,相生市
字黒蔵,矢野町榊,相生市
字黒蔵,矢野町榊,相生市
字下川原,矢野町下田,相生市
字西垣内,矢野町下田,相生市
字小谷,矢野町下田,相生市
字東原,矢野町下田,相生市
字越口,矢野町下田,相生市
字中川原,矢野町下田,相生市
字下コブ方,矢野町下田,相生市
字コブ方,矢野町下田,相生市
字前田,矢野町下田,相生市
字コケ,矢野町下田,相生市
字上川原,矢野町下田,相生市
字西山,矢野町下田,相生市
字湯之谷,矢野町下田,相生市
字鎌ケ谷,矢野町下田,相生市
字裏山,矢野町下田,相生市
字成林,矢野町下田,相生市
字池ノ谷,矢野町下田,相生市
字湯之谷奥,矢野町下田,相生市
字ナビラグチ,矢野町下田,相生市
字椿谷,矢野町下田,相生市
字東柳久保,若狭野町下土井,相生市
字西柳久保,若狭野町下土井,相生市
字土井,若狭野町下土井,相生市
字池ノ下,若狭野町下土井,相生市
字下垣内,若狭野町下土井,相生市
字城山,若狭野町下土井,相生市
字池之内,若狭野町下土井,相生市
字山崎,若狭野町下土井,相生市
字寺谷,若狭野町下土井,相生市
字間谷,若狭野町下土井,相生市
字奥之林,若狭野町下土井,相生市
字長谷,若狭野町下土井,相生市
字西山,若狭野町下土井,相生市
字松ケ鼻東,矢野町菅谷,相生市
字松ケ鼻中,矢野町菅谷,相生市
字松ケ鼻西,矢野町菅谷,相生市
字松ケ鼻北,矢野町菅谷,相生市
字松ケ鼻下,矢野町菅谷,相生市
字松ケ鼻上,矢野町菅谷,相生市
字岸ノ下,矢野町菅谷,相生市
字養老住南,矢野町菅谷,相生市
字養老住中,矢野町菅谷,相生市
字養老住北,矢野町菅谷,相生市
字キタラ東,矢野町菅谷,相生市
字キタラ西,矢野町菅谷,相生市
字松ケ鼻西,矢野町菅谷,相生市
字松ケ鼻下,矢野町菅谷,相生市
字小谷,矢野町菅谷,相生市
字キタラ東,矢野町菅谷,相生市
字キタラ西,矢野町菅谷,相生市
字源内橋,矢野町菅谷,相生市
字桑ノ木原,若狭野町寺田,相生市
字西河原,若狭野町寺田,相生市
字中ノ通,若狭野町寺田,相生市
字東山之下,若狭野町寺田,相生市
字米山之下,若狭野町寺田,相生市
字城ノ下,若狭野町寺田,相生市
字米山,若狭野町寺田,相生市
字八洞,若狭野町寺田,相生市
字東山,若狭野町寺田,相生市
字西柄,若狭野町上松,相生市
字山崎,若狭野町上松,相生市
字カヒワケ,若狭野町上松,相生市
字大久保,若狭野町上松,相生市
字下リ松,若狭野町上松,相生市
字コラ谷,若狭野町上松,相生市
字後明,若狭野町上松,相生市
字カヒワケ,若狭野町上松,相生市
字コラ谷,若狭野町上松,相生市
字溝下,矢野町瓜生,相生市
字畑田,矢野町瓜生,相生市
字村中,矢野町瓜生,相生市
字池ノ下,矢野町瓜生,相生市
字石ヶ内,矢野町瓜生,相生市
字池ノ内,矢野町瓜生,相生市
字小畑口,矢野町瓜生,相生市
字池ノ奥,矢野町瓜生,相生市
字高畑,矢野町瓜生,相生市
字鍛冶屋谷,矢野町瓜生,相生市
字小谷口,矢野町瓜生,相生市
字金堀,矢野町瓜生,相生市
字野々向,矢野町瓜生,相生市
字市之瀬,矢野町瓜生,相生市
字野々向山,矢野町瓜生,相生市
字羅漢口東山,矢野町瓜生,相生市
字ホラ谷,矢野町瓜生,相生市
字ホラノ谷山,矢野町瓜生,相生市
字西山,矢野町瓜生,相生市
字杉ケ谷,矢野町瓜生,相生市
字小畑口,矢野町瓜生,相生市
字池之奥,矢野町瓜生,相生市
字羅漢口西山,矢野町瓜生,相生市
字羅漢口,矢野町瓜生,相生市
字ウス谷口,矢野町瓜生,相生市
字新池ノ内,矢野町瓜生,相生市
字鍛冶屋谷西山,矢野町瓜生,相生市
字鍛冶屋谷東山,矢野町瓜生,相生市
字鍛冶屋谷奥山,矢野町瓜生,相生市
字前田,若狭野町若狭野,相生市
字堂ノ前,若狭野町若狭野,相生市
字桜田,若狭野町若狭野,相生市
字恩明寺谷,若狭野町若狭野,相生市
字セウギ,若狭野町若狭野,相生市
字中所下,若狭野町若狭野,相生市
字西稗田,若狭野町若狭野,相生市
字西所下,若狭野町若狭野,相生市
字中所上,若狭野町若狭野,相生市
字西所上,若狭野町若狭野,相生市
字東所,若狭野町若狭野,相生市
字小山田開,若狭野町若狭野,相生市
字高島,若狭野町若狭野,相生市
字野田,若狭野町若狭野,相生市
字湯之崎,若狭野町若狭野,相生市
字八反田,若狭野町若狭野,相生市
字下河原,若狭野町若狭野,相生市
字小山田,若狭野町若狭野,相生市
字音池奥,若狭野町若狭野,相生市
字堂奥谷,若狭野町若狭野,相生市
字寺山谷,若狭野町若狭野,相生市
字荘境,若狭野町若狭野,相生市
字茶屋,若狭野町若狭野,相生市
字角堂,若狭野町若狭野,相生市
字金懸ケ,若狭野町若狭野,相生市
字小山田カウゲ,若狭野町若狭野,相生市
字芋谷,若狭野町若狭野,相生市
字殿山,若狭野町若狭野,相生市
西新町,明石町,明石市
新濱,明石町,明石市
戎町,明石町,明石市
船町,明石町,明石市
材木町,明石町,明石市
樽屋町,明石町,明石市
中町,明石町,明石市
西魚町,明石町,明石市
西本町,明石町,明石市
東本町,明石町,明石市
東魚町,明石町,明石市
細工町,明石町,明石市
鍛冶屋町,明石町,明石市
東本町,明石町,明石市
相生町,明石町,明石市
字辻ヶ内,魚住町長坂寺,明石市
字西向イ,魚住町長坂寺,明石市
字越前,魚住町長坂寺,明石市
字地ニシ,魚住町長坂寺,明石市
字東谷,魚住町長坂寺,明石市
字宮前,魚住町長坂寺,明石市
字山越,魚住町長坂寺,明石市
字五反田,魚住町長坂寺,明石市
字通田,魚住町長坂寺,明石市
字川通,魚住町長坂寺,明石市
字竜ノ池下,魚住町長坂寺,明石市
字原田,魚住町長坂寺,明石市
字八両田,魚住町長坂寺,明石市
字長ヲサ,魚住町長坂寺,明石市
字竜ノ池上,魚住町長坂寺,明石市
字北ヶ市,魚住町長坂寺,明石市
字北ノ前,魚住町長坂寺,明石市
字横山,魚住町長坂寺,明石市
字道々ノ上,魚住町長坂寺,明石市
字中畑ケ,魚住町長坂寺,明石市
字坂舞台,魚住町長坂寺,明石市
字大道,魚住町長坂寺,明石市
字辻ノ外,魚住町長坂寺,明石市
字高所,魚住町長坂寺,明石市
字長坂,魚住町長坂寺,明石市
字寺山,魚住町長坂寺,明石市
字往還端,魚住町長坂寺,明石市
字堀割ノ内,魚住町長坂寺,明石市
字下通リ,魚住町長坂寺,明石市
字北浦,魚住町長坂寺,明石市
字新池ノ内,魚住町長坂寺,明石市
字堀割ノ下,魚住町長坂寺,明石市
字尺ヶ谷,魚住町長坂寺,明石市
字宮東,魚住町長坂寺,明石市
字宮ノ下,魚住町長坂寺,明石市
字大三昧,魚住町長坂寺,明石市
字橋詰,魚住町長坂寺,明石市
字横山北,魚住町長坂寺,明石市
字ツヱ池,魚住町長坂寺,明石市
字西畑ケ,魚住町長坂寺,明石市
字嶋,大久保町江井島,明石市
字堂ノ谷,大久保町江井島,明石市
字江井,大久保町江井島,明石市
字村北,大久保町江井島,明石市
字鴨池,大久保町江井島,明石市
字江井ノ前,大久保町江井島,明石市
字陸ノ後,大久保町江井島,明石市
字道下,大久保町江井島,明石市
字西辻ヶ鼻,大久保町江井島,明石市
字池ノ内,大久保町江井島,明石市
